Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
ORBIT SCH OF THE CROSS,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,EMBAKASI,"(-1.267922, 36.931129)",
CHESOTON PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,27.8,34.8,34.8,8,4,4,0,2,0,0,278,2,8,0,0,0,0,0,0,1,0,RIFT VALLEY,NAKURU,NAKURU,NJORO,MOLO,NJORO,"(-0.355391, 35.972177)",
GRASTEN ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5,5,3.3,4,2,4,0,1,0,0,20,0,0,0,0,0,0,1,3,0,1,CENTRAL,KIAMBU,THIKA,RUIRU,JUJA,JUJA,"(-1.067611111, 37.05772222)",
GREEN FIELDS PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,MUNICIPALITY,"(1.015124, 35.01245)",
KITENGELA EBENEZER ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.1,13.9,11.1,8,5,5,0,4,0,0,111,0,0,0,0,0,0,5,5,4,3,RIFT VALLEY,KAJIADO,KAJIADO,ISINYA,KAJIADO NORTH,KITENKELA,"(-1.48923, 36.96899)",
IGEGANA MWANGAZA ACADEMY  PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5.3,5.3,10.5,8,2,2,6,2,23,19,42,0,0,0,0,0,0,4,4,0,0,CENTRAL,KIAMBU,THIKA,KAMWANGI,MANGU,GATUNDU NORTH,"(-0.97727, 36.92727)",
CYBER JUNIOR ACA PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.6,10.1,15.2,9,3,3,0,2,0,0,91,0,0,0,0,5,5,2,0,2,3,COAST,MOMBASA,MOMBASA,ISLAND,GANJONI,LIKONI,"(-4.06196, 39.65818)",
DANDORA MINORATES PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,26,24.5,69.3,17,3,3,0,1,0,0,416,0,0,0,0,8,8,0,0,0,1,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,NJIRU,EMBAKASI,"(-1.24484, 36.91987)",
NEW HOROZON PREPARATORY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.3,6.3,19,3,0,1,0,0,0,0,19,0,0,0,0,0,0,0,3,0,0,RIFT VALLEY,KAJIADO,KAJIADO,ISINYA,KAJIADO NORTH,KITENKELA,"(-1.46936, 36.96015)",
LIMUKO FOREST ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8,8,3.2,2,3,2,0,1,0,0,16,0,0,0,0,0,0,0,2,2,1,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.21916, 36.157492)",
REJOICE IN THE LORD ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,1.3,1,1,4,2,2,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,COAST,KILIFI,KILIFI,KALOLENI,MARIAKANI,KALOLENI,"(-3.857239, 39.468705)",
THUMAITA GOODWISH ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,19,23.2,23.2,9,3,6,0,1,0,0,209,0,0,0,0,0,0,4,7,6,2,CENTRAL,KIRINYAGA,KIRINYAGA,GICHUGU,KARUMANDI,GICHUGU,"(-0.42979, 37.365601)",
SEA BREEZE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,ORDINARY,6.2,7.4,37,10,1,1,0,1,0,0,74,0,0,0,0,0,0,6,6,0,2,COAST,MOMBASA,MOMBASA,LIKONI,LIKONI,LIKONI,"(-4.07791, 39.6567)",
