Name of School,Level of Education,Status of School,Sponsor of School,School Institution Type_1,School Institution Type_2,School Institution Type_3,Pupil Teacher Ratio,Pupil Classroom Ratio,Pupil Toilet Ratio,Total Number of Classrooms,Boys Toilets,Girls Toilets,Total Toilets,Teachers Toilets,Total Boys,Total Girls,Total Enrolment,GOK TSC Male,GOK TSC Female,Local Authority Male,Local Authority Female,PTA BOG Male,PTA BOG Female,Others Male,Others Female,Non-Teaching Staff Male,Non-Teaching Staff Female,Province,County,District,Division,Location,Costituency,Geolocation,KODI_County
BIDII GREEN ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18.1,20.7,72.5,7,1,1,0,1,0,0,145,0,0,0,0,0,0,4,4,2,0,RIFT VALLEY,KERICHO,KERICHO,KIPKELION,KIPKELION,KAMASIAN,"(-0.13145, 35.43004)",
NEEMA NDAROINI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10,10,15,6,2,2,0,2,0,0,60,0,0,0,0,0,0,0,6,0,2,CENTRAL,NYERI,NYERI,MATHIRA,IRIA-INI,MATHIRA,"(-0.503548, 37.144099)",
ST PEVA ACADEMY PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16.5,16.5,13.2,8,5,5,0,2,0,0,132,0,0,0,0,0,0,5,3,2,2,RIFT VALLEY,LAIKIPIA,LAIKIPIA,NGARUA,LAIKIPIA WEST,GITUAMBA,"(0.299496, 36.253698)",
FOREST SLOPE ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,8.4,11.2,10.1,9,4,6,0,3,0,0,101,0,0,0,0,0,0,6,6,5,0,CENTRAL,NYERI,NYERI,KIENI EAST,KABARU,KIENI,"(-0.28364, 37.13017)",
ST. XAVIER'S ACA. PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.4,8.4,7,5,3,3,0,0,0,0,42,0,0,0,0,0,0,1,4,0,0,RIFT VALLEY,LAIKIPIA,LAIKIPIA,CENTRAL - LAIKIPIA,LAIKIPIA EAST,NANYUKI,"(0.021311, 37.073618)",
NEEMA EDUCATION  CENTER PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,9,13.5,3,1,1,0,1,0,0,27,0,0,0,0,0,0,1,2,0,1,RIFT VALLEY,KAJIADO,KAJIADO,ISINYA,KAJIADO NORTH,KITENKELA,"(-1.47012, 36.94102)",
AGAPE GLAD KIDS EDUCATION CENTER PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,6.8,27,4,1,0,0,0,14,13,27,0,0,0,0,0,0,1,2,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,KASARANI,"(-1.23848, 36.88336)",
SPIRIT OF FAITH PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,0,0,0,11,8,4,16,4,0,0,0,0,0,0,0,0,0,7,6,11,12,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.149777778, 36.99125)",
SHINERS EDUCATIONAL CENTRE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.5,15,7.5,2,2,2,0,1,0,0,30,0,0,0,0,0,0,0,4,1,2,RIFT VALLEY,UASIN GISHU,UASIN GISHU,MOIBEN,ELDORET EAST,MEIBEKI,"(0.890678, 35.376529)",
ST ELIZABETH FAITH ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,20.8,31.3,31.3,8,4,4,0,2,0,0,250,0,0,0,0,0,0,9,3,2,0,WESTERN,BUNGOMA,BUNGOMA,WEBUYE,BOKOLI,WEBUYE,"(0.715196, 34.662064)",
GLADWELL SUNRISE PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6.8,5.7,17,6,1,1,0,1,0,0,34,0,0,0,0,0,0,2,3,1,0,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.270849, 36.160369)",
GOODHOPE KIBINGO ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.4,7.4,8.7,7,3,3,0,2,0,0,52,0,0,0,0,0,0,3,2,0,0,CENTRAL,KIRINYAGA,KIRINYAGA,CENTRAL-KIRINYAGA,INOI,KERUGOYA/KUTUS,"(-0.486315, 37.257147)",
JECY ACADEMY  PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.4,8.1,13,8,2,3,6,1,42,23,65,0,0,0,0,0,0,5,22,2,1,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.199019, 36.961525)",
MWIMWAITA PRIMARY,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,25.7,25.7,36.7,10,3,4,0,2,0,0,257,2,8,0,0,0,0,0,0,1,0,RIFT VALLEY,NAKURU,NAKURU,RONGAI,RONGAI,LENGINET,"(-0.246451, 35.908176)",
PWANI JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,22.5,11.3,22.5,4,1,1,0,0,0,0,45,0,0,0,0,0,0,0,2,1,1,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-4.01181, 39.6965)",
WAMERE WANENE PRIMARY SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.4,18.7,15.6,10,6,6,0,2,0,0,187,0,0,0,0,0,0,7,7,2,2,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KARAI,KABETE,"(-1.27721, 36.61178)",
SAITHYA SAI SCHOOL PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,17.8,20,8.9,8,18,0,0,4,0,0,160,0,0,0,0,0,0,6,3,3,1,RIFT VALLEY,KAJIADO,KAJIADO,ISINYA,KAJIADO NORTH,OLTUROTO,"(-1.5974, 36.80675)",
KIPRIRIA HILLS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,27.4,35.4,21.3,24,20,20,0,10,0,0,850,0,0,0,0,0,0,23,8,6,3,RIFT VALLEY,NANDI,NANDI SOUTH,NANDI HILLS,TINDERET,KAPLELMET,"(0.098928, 35.180858)",
SIN BAD JUNIOR ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.4,9.3,12.3,8,3,3,0,2,0,0,74,0,0,0,0,0,0,4,6,3,0,COAST,MOMBASA,MOMBASA,KISAUNI,KISAUNI,KISAUNI,"(-3.99837, 39.6968)",
TENDERLINGS PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA,"(-1.306151, 36.775464)",
IGANJO MEMORIAL PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.6,8.4,14,10,3,3,0,2,0,0,84,0,0,0,0,0,0,6,5,1,2,CENTRAL,NYANDARUA,NYANDARUA,NORTH KINANGOP,ENGINEER,KINANGOP,"(-0.581742222, 36.61751389)",
JUHUDI ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6,7.5,15,4,1,1,0,1,0,0,30,0,0,0,0,2,3,0,0,0,3,WESTERN,BUNGOMA,BUNGOMA,BUMULA,SOUTH BUKUSU,BUMULA,"(0.525954, 34.478967)",
SOUJANAARS PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19.5,13,19.5,3,1,1,0,1,0,0,39,0,0,0,0,0,0,2,0,1,1,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.280388, 36.141693)",
STRATHMORE SCHOOL - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,BOYS ONLY,DAY ONLY,ORDINARY,21.1,39.5,26.3,8,12,0,0,3,316,0,316,0,0,0,0,0,0,15,0,25,1,NAIROBI,NAIROBI,NAIROBI,WESTLANDS,LAVINGTON,WESTLANDS,"(-1.268038, 36.776616)",
BLESSINGS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.7,12.7,9.5,3,2,2,0,0,0,0,38,0,0,0,0,0,0,1,2,1,1,NAIROBI,NAIROBI,NAIROBI,MAKADARA,MARINGO,MAKADARA,"(-1.29129, 36.864036)",
PLEASANT VIEW SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,15.5,22.1,33.1,21,9,5,0,4,0,0,464,0,0,0,0,0,0,19,11,21,12,CENTRAL,KIAMBU,KIAMBU,GITHUNGURI,KOMOTHAI,GITHUNGURI,"(-1.01659, 36.80677)",
HARVEST VIEW ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,55.3,55.3,27.6,4,4,4,0,2,117,104,221,0,0,0,0,0,0,0,4,0,3,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,EMBAKASI,EMBAKASI,"(-1.303715, 36.916215)",
MWENCHA PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CENTRAL - TRANS NZOIA,SABOTI,WAITALUK,"(0.908559, 34.995231)",
MWANGAZA PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6,6,9,3,1,1,0,1,0,0,18,0,0,0,0,0,0,1,2,1,0,CENTRAL,NYANDARUA,NYANDARUA,NDARAGWA,LESHAU,NDARAGWA,"(0.038520277, 36.49109028)",
HURUMA KIBERA PRI. SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,ORDINARY,24.5,24.5,49,8,2,2,0,1,0,0,196,0,0,0,0,0,0,4,4,2,0,NAIROBI,NAIROBI,NAIROBI,KIBERA,KIBERA,LANGATA,"(-1.30724, 36.788968)",
KABETE KINGS ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0.4,4,2,2,2,2,0,2,0,0,8,0,0,0,0,0,20,0,1,1,1,CENTRAL,KIAMBU,KIAMBU,KIKUYU,KABETE,KABETE,"(-1.23702, 36.72662)",
JUNEL PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.7,13.7,27.3,12,3,3,0,2,0,0,164,0,0,0,0,0,0,3,9,4,2,CENTRAL,KIAMBU,KIAMBU,KIKUYU,MUGUGA,KABETE,"(-1.24408, 36.70896)",
KAPLAMAI ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,KAMAGUT,"(0.605873, 35.148247)",
PRECIOUS ANGELS PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5,6.3,12.5,4,1,1,0,1,0,0,25,0,0,0,0,0,0,1,4,1,1,WESTERN,KAKAMEGA,LUGARI,LIKUYANI,KONGONI,LUGARI,"(0.78754, 35.12539)",
GOOD SHEPHERD ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.8,25,41.7,5,1,2,0,1,0,0,125,0,0,0,0,0,0,3,3,0,0,COAST,LAMU,LAMU,MPEKETONI,MPEKETONI,LAMU WEST,"(-2.38504, 40.698844)",
ST. GEORGE MUTHAITI PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,33.7,22.5,14,15,12,12,0,4,0,0,337,0,0,0,0,0,0,6,4,5,2,RIFT VALLEY,NAKURU,NAKURU,NAKURU MUNI.,NAKURU TOWN,LANET,"(-0.300169, 36.141079)",
VICTORY ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,4,1,2,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,WESTERN,NYAMIRA,MT ELGON,KAPTAMA,KABOYWO,MT ELGON,"(0.925006, 34.750404)",
CHUMVINI JUNIOR ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.5,11.3,17,3,1,1,0,1,0,0,34,0,0,0,0,0,0,1,3,2,0,COAST,TAITA TAVETA,TAITA TAVETA,TAVETA,NJUKINI,TAVETA,"(-3.20776, 37.71223)",
BERUR ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,12,10.7,9.6,9,5,5,0,2,0,0,96,0,0,0,0,0,0,5,3,2,1,RIFT VALLEY,NANDI,NANDI NORTH,KAPSABET,EMGWEN,CHEMUNDU,"(0.21843, 35.05452)",
MWEA BRETHREN SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,20.9,14.6,12.2,10,6,6,0,3,0,0,146,0,0,0,0,0,0,2,5,2,2,CENTRAL,KIRINYAGA,KIRINYAGA,MWEA,TEBERE,MWEA,"(-0.681774, 37.359512)",
ST THERESA'S PRI NDUROTO,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,11.1,18.5,12.3,6,5,4,0,2,0,0,111,0,0,0,0,0,0,4,6,2,2,RIFT VALLEY,NANDI,NANDI SOUTH,OL'LESSOS,TINDERET,CHEPKUNYUK,"(0.181716, 35.234207)",
HOLY BRIDGE CHILDREN CENTRE PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,16,16,8,1,1,1,0,1,0,0,16,0,0,0,0,0,0,0,1,2,0,CENTRAL,MURANG'A,MARAGUA,KIGUMO,KANGARI,KIGUMO,"(-0.777166111, 36.84301778)",
PRECIOUS CORNERSTONE PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,10.2,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,4,5,2,3,RIFT VALLEY,NAKURU,NAKURU,NAKURU MUNI.,NAKURU TOWN,LANET,"(-0.31921, 36.144652)",
ENGASHURA PREPARATORY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5,0.7,0.6,7,4,4,0,1,0,0,5,0,0,0,0,0,0,1,0,0,0,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,LANET,"(-0.261896, 36.117308)",
MAKENYA ELITE PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,22.3,33.5,6,2,2,0,1,0,0,134,0,0,0,0,0,0,0,0,0,2,RIFT VALLEY,NAKURU,NAKURU,KURESOI,KURESOI,KIPTORORO,"(-0.35844, 35.59505)",
DESTINY DOWNS ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20.4,20.4,10.8,9,8,9,0,1,0,0,184,0,0,0,0,0,0,3,6,0,0,CENTRAL,NYANDARUA,NYANDARUA,OL JORO OROK,OL JORO OROK,OL_KALOU,"(-0.126361, 36.282622)",
MALULUK ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,6,6,3,1,1,1,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,RIFT VALLEY,KERICHO,KERICHO,SIGOWET,BELGUT,KIPTERE,"(-0.36372, 35.08683)",
GOSPEL CHRISTIAN ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.6,5.9,4.1,7,5,5,0,2,0,0,41,0,0,0,0,0,0,5,4,3,0,RIFT VALLEY,NAKURU,NAKURU,RONGAI,RONGAI,BOROR,"(-0.251367, 35.841269)",
CLASSMAX ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,13.6,15.3,30.5,8,2,2,0,1,0,0,122,0,0,0,0,0,0,6,3,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,KASARANI,KASARANI,"(-1.236466, 36.934768)",
HERITAGE ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,8.5,5.7,8.5,3,1,1,0,1,0,0,17,0,0,0,0,0,0,0,2,0,0,CENTRAL,MURANG'A,MARAGUA,KANDARA,GAICHANJIRU,KANDARA,"(-0.897852, 37.078002)",
SKYVIEW PRI. SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.5,2.5,5,2,0,1,0,1,4,1,5,0,0,0,0,1,1,0,0,1,1,NAIROBI,NAIROBI,NAIROBI,KIBERA,SERA NGOMBE,LANGATA,"(-1.307092, 36.77647)",
MUGUGA ELITE SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,18.8,18.8,10.3,6,6,5,0,2,0,0,113,0,0,0,0,2,4,0,0,0,1,CENTRAL,KIAMBU,KIAMBU,KIKUYU,MUGUGA,KABETE,"(-1.18932, 36.65441)",
DORBEN JUNIOR ACADEMY - PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,5,5,2.5,1,1,1,0,1,0,0,5,0,0,0,0,0,0,0,1,0,0,NAIROBI,NAIROBI,NAIROBI,KASARANI,KAHAWA,KASARANI,"(-1.173098, 36.909768)",
JOYFIELD ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,20,14.3,16.7,7,3,3,0,1,0,0,100,0,0,0,0,0,0,2,3,0,2,RIFT VALLEY,NAKURU,NAKURU,NAIVASHA,NAIVASHA,NAIVASHA TOWN,"(-0.72799, 36.42789)",
TUMAINI HILLS ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7.3,7.3,0,4,0,0,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,RIFT VALLEY,TRANS NZOIA,TRANS NZOIA,CHERANGANY,CHERANGANY,SUWERWA,"(1.04922, 35.272708)",
GLORIOUS ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,14,9.3,14,3,1,1,0,1,0,0,28,0,0,0,0,0,0,1,1,0,1,RIFT VALLEY,NAROK,NAROK,CENTRAL - NAROK,NAROK NORTH,LOWER MELILI,"(-1.088458, 35.878842)",
ST.THOMAS ACADEMY PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9,31.5,31.5,2,1,1,0,1,0,0,63,0,0,0,0,0,0,3,4,0,1,WESTERN,BUNGOMA,BUNGOMA,KIMILILI,KAMUKUYWA,KIMILILI,"(0.764989, 34.801449)",
COMIDO PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,7,7,7,2,1,1,0,1,0,0,14,0,0,0,0,0,0,0,2,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,TURBO,ELDORET NORTH,KAPYEMIT,"(0.539482, 35.242356)",
MONPHINE ACADEMY PRY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CENTRAL,KIAMBU,KIAMBU,LARI,KINALE,LARI,"(-0.9017, 36.63575)",
MLAKI VISIONS PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,9.7,9.7,0,7,0,0,0,0,0,0,68,0,0,0,0,0,0,4,3,0,0,CENTRAL,NYANDARUA,NYANDARUA,OL KALOU,NDUNDORI,OL_KALOU,"(-0.233506, 36.252764)",
BETHLEHEM ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY & BOARDING,ORDINARY,19.3,19.3,36.9,42,7,15,0,4,0,0,812,0,0,0,0,0,0,19,23,0,0,CENTRAL,KIAMBU,THIKA,RUIRU,RUIRU,JUJA,"(-1.13774, 36.987049)",
MARK'S ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,UASIN GISHU,UASIN GISHU,KAPSARET,ELDORET SOUTH,KAPSARET,"(0.489415, 35.20385)",
LIGHTRAYS ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,19.1,16.2,52.5,13,2,2,0,1,0,0,210,0,0,0,0,0,0,4,7,0,1,COAST,MOMBASA,MOMBASA,CHANGAMWE,PORT REITZ,CHANGAMWE,"(-4.02274, 39.60593)",
ST. JOHNS MUSTARD SEED PRY SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,,,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,WESTERN,VIHIGA,VIHIGA,TIRIKI WEST,GISAMBAI,HAMISI,"(0.05609, 34.75043)",
MIZPAH ACADEMY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,3.9,3.9,13.5,7,1,1,0,1,0,0,27,0,0,0,0,0,0,3,4,2,1,RIFT VALLEY,ELEGEYO-MARAKWET,MARAKWET,KAPCHEROP,MARAKWET WEST,SENGWER,"(1.052363, 35.32267)",
LULUKWET PRIMARY SCH,PRIMARY SCHOOL,PUBLIC,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,94.8,47.4,59.3,10,4,4,0,2,0,0,474,4,1,0,0,0,0,0,0,1,0,RIFT VALLEY,NAKURU,NAKURU,MAUCHE,MOLO,NJORO,"(-0.43854, 35.940408)",
ST. PAUL ABAIKOROS PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,10.3,18,7,2,2,0,2,0,0,72,0,0,0,0,0,0,0,0,1,0,RIFT VALLEY,BOMET,BURETI,KONOIN,KONOIN,BOITO,"(-0.57703, 35.22465)",
DE ANN ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.9,2.9,10,7,1,1,0,1,0,0,20,0,0,0,0,0,0,4,3,0,1,NAIROBI,NAIROBI,NAIROBI,KASARANI,KARIOBANGI,KASARANI,"(-1.240526, 36.89239)",
BRIGHT STAR ACADEMY PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,4.8,19,8,1,1,0,1,0,0,38,0,0,0,0,0,0,0,0,1,1,COAST,MOMBASA,MOMBASA,LIKONI,LIKONI,LIKONI,"(-4.09278, 39.65272)",
AMANI ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.3,4.3,8.5,4,1,1,3,1,11,6,17,0,0,0,0,2,2,0,0,0,0,CENTRAL,MURANG'A,THIKA,GATANGA,KIGORO,GATANGA,"(-0.880016, 36.920449)",
BAHATI CENTRAL PRIMARY,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,21.3,26.2,15.5,13,8,14,0,3,0,0,341,0,0,0,0,0,0,8,8,6,3,RIFT VALLEY,NAKURU,NAKURU,BAHATI,SUBUKIA,BAHATI,"(-0.159339, 36.13651)",
ST. PETERS ELITE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,BOARDING ONLY,ORDINARY,0,23.4,11.7,20,20,20,0,5,0,0,468,0,0,0,0,0,0,0,0,0,0,RIFT VALLEY,NAKURU,NAKURU,GILGIL,NAIVASHA,GILGIL,"(-0.482616, 36.326453)",
VANTAGE PRIMARY SCHOOL,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,12.3,0,0,0,0,0,0,0,0,0,123,3,6,0,0,0,0,1,0,4,8,CENTRAL,KIAMBU,KIAMBU,KIKUYU,MUGUGA,KABETE,"(-1.23079, 36.66982)",
KANGEMI VALLEY ACADEMY PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,4.4,4.4,35,8,0,1,0,1,0,0,35,0,0,0,0,5,1,2,0,0,0,NAIROBI,NAIROBI,NAIROBI,WESTLANDS,KANGEMI,WESTLANDS,"(-1.272948, 36.741464)",
JAWIN JNR SCH PRI,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NAIROBI,NAIROBI,NAIROBI,EMBAKASI,MUKURU KWA NJENGA,EMBAKASI,"(-1.31573, 36.89253)",
BIRIKANI CARE PRI SCH,PRIMARY SCHOOL,PRIVATE,PRIVATE INDIVIDUAL,MIXED,DAY ONLY,ORDINARY,2.3,2.3,0,6,0,0,0,0,0,0,14,0,0,0,0,0,0,2,4,0,0,COAST,MOMBASA,MOMBASA,CHANGAMWE,MIKINDANI,CHANGAMWE,"(-4.01624, 39.63381)",
